gene	s15v24hpf_mean_expression	s15v24hpf_log2_change	s24vMel_mean_expression	s24vMel_log2_change	s24vIri_mean_expression	s24vIri_log2_change	MelvIri_mean_expression	MelvIri_log2_change	genename	type	s15_Rep1	s15_Rep2	s24_Rep1	s24_Rep2	Mel_Rep1	Mel_Rep2	Iri_Rep1	Iri_Rep2	s15	s24	Mel	Iri	s15_Rep1_zscore	s15_Rep2_zscore	s24_Rep1_zscore	s24_Rep2_zscore	Mel_Rep1_zscore	Mel_Rep2_zscore	Iri_Rep1_zscore	Iri_Rep2_zscore
ENSDARG00000077811	1171.91187766204	3.38614446660891	0	0	0	0	0	0	sox11a	TF	120.694794	139.713257	19.37335	19.146772	4.78906	22.398239	8.0769	8.319612	130.2040255	19.260061	13.5936495	8.198256	1.19272552284995	1.48340399604739	0.0697841052904695	0.0782984506912675	-0.046970405670464	0.0937609369940263	-0.0312387687361674	-0.0271680513778705
ENSDARG00000077815	0	0	0	0	625.548365607155	2.26639863623887	0	0	cdc26	other	31.338709	17.480207	30.527954	25.270725	20.941462	9.476409	9.78507	8.469802	24.409458	27.8993395	15.2089355	9.127436	0.207544344430082	0.0688750716166496	0.158412258557199	0.134263148066431	0.0570672190683797	-0.00951189245131089	-0.0224206298766255	-0.0264770409295774
ENSDARG00000077828	0	0	6148.08897994988	-6.2944480951891	6148.08897994988	-4.63052792708969	0	0	slc29a3	other	2.847373	1.283833	0.908039	0.628779	125.551697	61.878559	17.963961	51.158615	2.065603	0.768409	93.715128	34.561288	-0.106582309342142	-0.11855573775854	-0.0769307770510121	-0.0909311097316145	0.730861765091457	0.409292433214557	0.0198015122726085	0.16993028184975
ENSDARG00000077840	0	0	1727.02984096555	4.62638583581282	1727.02984096555	10.7726745495838	1727.02984096555	6.14628871377093	meis2b	TF	20.346184	14.347056	17.172148	11.133207	0.643916	1.532542	0	0.015245	17.34662	14.1526775	1.088229	0.0076225	0.0863480237395566	0.032617016089858	0.0522946033568257	0.00506524003122497	-0.0736692790615838	-0.0730002390575921	-0.0729343995894394	-0.0653756841327797
ENSDARG00000077859	0	0	276.925960792565	2.56876778069909	276.925960792565	2.31436158120556	0	0	ndufaf4	other	12.547318	6.910302	10.092691	12.705171	2.11043	2.515904	4.323433	2.466686	9.72881	11.398931	2.313167	3.3950595	0.000362877946534833	-0.0534440258040979	-0.00395474444980361	0.0194308776422012	-0.0642234620737289	-0.0651410909253983	-0.050615407601566	-0.0540968283875642
ENSDARG00000077860	0	0	8002.686485277	2.43682359955241	0	0	0	0	ankhd1	other	23.185991	30.874825	28.687523	27.240997	4.848022	10.376259	9.246745	19.889048	27.030408	27.96426	7.6121405	14.5678965	0.117657860184886	0.223882858730696	0.14378923825591	0.152268785311974	-0.0465906314158453	-0.00232018233158431	-0.0251996416854987	0.0260618651069653
ENSDARG00000077883	0	0	408.89677526171	2.21638563449085	408.89677526171	2.38736143870357	0	0	fam83d	other	10.282122	14.595067	5.664072	3.080324	0.477205	2.05356	1.599811	0.767638	12.4385945	4.372198	1.2653825	1.1837245	-0.0246116771118249	0.0354870969156002	-0.0391420378303619	-0.0685272842896828	-0.0747430646482623	-0.0688362001364833	-0.0646756457493517	-0.0619139927803425
ENSDARG00000077918	0	0	193.097904315859	-5.86587946822424	193.097904315859	-9.64583512683296	193.097904315859	-3.77995565860872	dnase2b	other	0.011766	0	0	0	0.052942	1.612578	8.19162	9.016147	0.005883	0	0.83276	8.6038835	-0.137845839361341	-0.133412758119553	-0.0841455396426888	-0.0966773044608781	-0.0774757427220606	-0.0723605816578672	-0.0306465461295377	-0.0239633575726785
ENSDARG00000077938	0	0	546.715870638447	2.68512713766465	546.715870638447	8.52091907707398	546.715870638447	5.83579193940933	cd248b	other	32.511909	38.523968	5.472672	4.197791	0.751834	1.459467	0	0	35.5179385	4.8352315	1.1056505	0	0.220479272795869	0.312401749657552	-0.0406627936129295	-0.0583151382327598	-0.0729741792004878	-0.073584263302743	-0.0729343995894394	-0.065445824982931
ENSDARG00000077955	0	0	0	0	1063.8667699261	-1.35417543345619	0	0	rnf6	Cofactor	2.828435	3.151064	3.346034	2.802163	3.625669	4.612875	5.166006	6.23842	2.9897495	3.0740985	4.119272	5.702213	-0.106791107222632	-0.096947406312227	-0.0575598523168378	-0.0710693018699243	-0.0544638073504462	-0.0483818448716413	-0.0462657669256961	-0.0367434253501979
